country,KMeans_Cluster,DBSCAN_Cluster,KMeans_Silhouette,KMeans_DaviesBouldin,KMeans_CalinskiHarabasz
Oman,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Pakistan,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Panama,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Paraguay,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Peru,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Philippines,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Poland,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Portugal,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Qatar,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Romania,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Russia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Rwanda,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Samoa,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Saudi Arabia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Senegal,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Serbia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Seychelles,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Sierra Leone,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Singapore,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Slovak Republic,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Slovenia,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Solomon Islands,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
South Africa,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
South Korea,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Spain,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
Sri Lanka,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
St. Vincent and the Grenadines,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Sudan,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Suriname,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Sweden,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Switzerland,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Tajikistan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Tanzania,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Thailand,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Timor-Leste,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Togo,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Tonga,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Tunisia,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Turkey,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Turkmenistan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Uganda,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Ukraine,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
United Arab Emirates,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
United Kingdom,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
United States,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Uruguay,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Uzbekistan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Vanuatu,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Venezuela,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Vietnam,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Yemen,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Zambia,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
